AwardNumber,Program(s),PrincipalInvestigator,Title,StartDate,Abstract
8909152,ARTIFICIAL INTELL & COGNIT SCI,Paul Fishwick,Enhancing Simulation Analysis Reporting Using Natural Language Feedback,6/15/89,"This project is an exploration of the relationships and the joint use of simulation and natural language . Conceptual structures are used which can represent the structure and meaning of sentences as well as basic mathematical concepts . Sentences can be transformed to these structures , and , via language generation , the structures can be transformed into mathematical equations . An example is illustrated using a text description of a nanoplankton respiration model . Previous research by this investigator has concentrated on the translation of text to equations suitable for numerical simulation . The current research concerns mapping in the opposite direction , generating natural language text instead of the traditional numerical output from a simulation run . In this manner , the analyst will be able to textually describe a physical system and then obtain textual responses that describe the system behavior ."
8710858,ROBOTICS,Joseph S. Mitchell,Computational Geometry Problems in Robotics ( Computer and Information Science ),6/1/87,"Computational geometry has arisen as an extremely important field of theoretical computer science and is finding applications in many other fields , such as robotics , computer-aided design , mechanics , computer graphics , operations research , and VLSI design . While the field of computational geometry is still young , many recent breakthroughs have resulted in a flurry of activity , particularly in applications to robotics . This project is designed to identify important areas of robotics to which techniques of computational geometry may be applied . It will initially focus on the design and analysis of geometric algorithms for robotics , particularly those problems related to motion planning and shortest path planning . The research builds on an existing body of work in shortest path algorithms for motion in the plane in the presence of obstacles and `` weighted regions . '' Further research should improve the bounds on the computational complexity of a variety of fundamental problems . A better understanding of basic geometric algorithms will lead to efficient and effective heuristics for solving important problems in robotics ."
8805564,HUMAN COMPUTER INTER PROGRAM,David Maier,Generating Interactive Displays from Declarative Specifications,6/15/88,"This is a continuation of ongoing research into the possibility of automatically generating user interfaces for interactive com- puter systems . The approach taken is to specify an interface formally as a relation between a source object ( such as some information in an application program ) and a view object ( such as a graphical image on the computer 's screen ) . This relation is implemented as a `` filter '' -- a program which can satisfy some con- straint on the two objects it relates . Filters are bidirec- tional : if the source changes , the view must be updated ; if the view is edited , the system must find a corresponding change to the source to keep the constraint satisfied . In previous work the investigators developed a formal theory of filters and a language for defining user interfaces in such terms . They now seek to refine and extend their ideas and test them in a variety of applications . Success in this project would lead to faster and easier construc- tion of computer systems which are precisely tailored to specific needs and yet uniform in the way they interact with a user . The learning and use of ever more powerful and complex systems would be facilitated ."
8920642,INFORMATION & KNOWLEDGE MANAGE,David Maier,Query Optimization in Object-Oriented Database Management Systems with Encapsulated Behavior,9/15/89,"Object-oriented database systems with behavioral encapsulation support powerful data abstractions but are generally slow . Conventional database systems provide efficient query processing , but limited data modeling facilities . This research project seeks new techniques that combine the power of abstract data types with database optimization technology into a semantically powerful and efficient query and command processing system . If behavior is encapsulated , a central query optimizer can not reason about semantics , behavior , and cost over an entire query . The key to performing optimization of queries over encapsulated types is in revealing such information to a trusted system component , and in ensuring that the behavior will not change between the points of revelation and evaluation . Since syntactic analysis of type and behavior definition may yield only limited performance improvement , the type implementor will be able to reveal other relevant information . The project includes the definition of an object-oriented data language , an algebraic query language that permits optimization , a revealing mechanism , an extensible optimizer , and a software prototype to validate the investigated concepts and ideas . The goal of the research is to develop a key technique that will allow object-oriented database systems with encapsulated behavior to attain performance comparable to extensible relational systems , thus making such systems viable alternatives for managing large data volumes ."
8721686,ARTIFICIAL INTELL & COGNIT SCI,Yorick Wilks,The Development of Collative Semantics Including a Parallel Processing Implementation,6/15/88,"This research investigates natural language comprehension by computer systems . Specific targets are to : 1 ) Describe how the ambiguity of words used in natural language may be resolved from context and `` semantic relations '' - the underlying structures connecting the possible alternative meanings of words . 2 ) Develop a computer system , meta5 , which automatically carries out natural language processing , using the semantic relations approach . A key feature of this development is the use of parallel processing , with many computing elements operating simultaneously to analyse the natural language input . The significance of this research is that natural language processing systems , for machine translation , user interfaces , and knowledge based systems , must overcome the fundamental problem that ordinary words have many meanings , and the right one must be found for each occurrence . The processing requirements of this task make it essential to explore parallel processing and other means of greatly increasing the computing power brought to bear on the problem ."
8619107,ARTIFICIAL INTELL & COGNIT SCI,Paul Utgoff,Learning Efficient Recognizers for Analytically Derived Concepts ( Computer and Information Science ),6/1/87,"This research develops artificial intelligence methods for the automatic formulation and use of concepts by computer systems . In particular , techniques which enable a machine to develop concepts based on its ability to `` explain '' instances presented to it are combined with methods to rapidly `` classify '' new instances into one of its learned categories . The goal is to convert the machine 's inefficient but correct `` explanation '' procedures into efficient classification routines . Methods used will include both symbol-processing strategies and newer , `` connectionist '' approaches . The importance of this research is that exploratory artificial intelligence programs , now capable of some limited learning , must be substantially improved . In particular , artificial intelligence systems must be developed to both learn new categories ( concepts ) efficiently and apply these categories rapidly when presented with a high rate of data and new experience ."
8712772,"HUMAN COMPUTER INTER PROGRAM, CROSS-DIRECTORATE PROGRAMS, SPECIAL PROGRAMS-RESERVE",David Zeltzer,Modeling Motor Behavior and Virtual Environments for Three Dimensional Computer Animation ( Computer and Information Science ),9/1/87,"This project is concerned with the simulation and emulation of common motor behaviors . Its goal is a task-level animation system in which the animated agents perform certain simple but general kinds of problem solving in order to move among and interact with other figures and objects in their environment . Such a system would not require its human user to specify most of the details of what 's to happen in the simulated world of interest . To that end , the investigator seeks to develop and implement a hierarchical , inheritance-based scheme for representing physical objects and their relationships , including common-sense knowledge about their uses , and to develop low-level motor control models based on inverse kinematics and finite-state control of jointed figures ."
8858719,"CISE RESEARCH RESOURCES, ROBOTICS, SPECIAL PROGRAMS-RESERVE",Christopher Atkeson,( PYI ) Computational and Experimental Studies of Motor Learning in Humans and Robots ( Computer Research ),9/1/88,"This Presidential Young Investigator Award is for support of Christopher Atkeson at the Massachusetts Institute of Technology . His research interests are the study of motor control and learning in humans and machines . He uses tools and techniques from biological , computer , and engineering sciences to study how humans control and improve their movement and how machines might attain human levels of perfomrance . Atkeson 's current research has three main thrusts : computational studies of motor learning in general ; experimental studies of robot learning ; and psychophysical studies of human motor learning . The significance of this work lies in the implications it has for both humans and robots : in the former , better understanding of how we learn new arm movements , compensate for motor disorders , and adapt to prosthetic and assistive devices ; in the latter , more useful and usable robots ."
8905166,ARTIFICIAL INTELL & COGNIT SCI,John Schlipf,Generalized Logic Programming : Semantics and Computability,7/1/89,"This proposal concerns extending forms of the negation as failure feature of pure Prolog to broader contexts , particularly , but not exclusively , what is often called generalized logic programming , or , simply , logic programming . The proposed project has two goals : The first goal is to extend common and wellfounded , semantics . The goal for logic programming is to find a semantics which also handles other common patterns of inference . The first goal for extensions is to find analogous negation-as-failure semantics . The second goal is ( for finite databases ) to compute the data complexity and ( for infinite models ) to determine the degree of non- recursiveness of the semantics , and to find ( 1 ) good polynomial-time or recursive approximations to the semantics and ( 2 ) general circumstance when the semantics are polynomial- time or recursive ."
8902444,"INFORMATION & KNOWLEDGE MANAGE, CROSS-DIRECTORATE PROGRAMS",Glenn Shafer,Belief Functions in Artifical Intelligence,8/1/89,"This project studies mathematical problems involved in combining probability judgements based on many different items of evidence and bearing on many different but related questions . Such combination is often infeasable unless computations can be carried out `` locally '' , on only a few variables at a time . Several methods of local computation will be investigated , including the exploitation of tree like structures , Monte Carlo simulations , and iterative methods ."
8908481,ARTIFICIAL INTELL & COGNIT SCI,Edwina Rissland,Combining Case-Based Reasoning with other Reasoning Paradigms,6/1/89,"This research is about case.based reasoning ( `` CBR '' ) and the complementary use of CBR with other reasoning paradigms , such as those using rules or models . The specific topic is how and when to interleave CBR and traditional AI rule.based reasoning ( e.g. , as used in expert systems ) and model.based reasoning , in particular in the situation when the concepts used in the rules or model are not fully defined or admit judgmental decisions . In such problems of interpretation a reasoner seeks to determine the meaning of certain terms and rules as they apply to a given fact situation . This is done by consideration of its applications in past cases . One reasons about the similarities and differences with past cases ( precedents ) in order to determine whether the new case is `` in '' or `` out '' of the category of the rule or predicte in question . This investigation will focus on the architecture and control of a mixed paradigm system that will enable CBR and other reasoning processes to complement each other . The research has three high level goals : ( 1 ) describe mixed paradigm reasoning on interpretation tasks , such as exemplified by problems of interpretation in statutory law ; ( 2 ) use the results of ( 1 ) to suggest and build architectures and control regimes ; ( 3 ) perform experiments to explore and evaluate the approaches of ( 2 ) . Because certain areas of statutory law offer excellent examples for study of such issues , we propose to begin our investigations in an area such as tax law , where we already have experience with CBR techniques . However , our results will have wider application , even to those domains which to date have been the province of purely rule.based approaches ( e.g. , diagnostic expert systems ) ."
8618002,"ARTIFICIAL INTELL & COGNIT SCI, CROSS-DIRECTORATE PROGRAMS",Tommaso Toffoli,Information Mechanics ( Computer and Information Science ),7/1/87,"_Information Mechanics_ extends in a natural way the motivations and methods of information theory , which originally dealt primarily with a _static_ bookkeeping of information , to the study of _dynamical_ processes . As a system evolves in time , the parameters that account for the different forms of information encoded in it will evolve too , and one is naturally led to the study of the laws that govern such evolution . An important area of this research is the study of _reversible_ processes . Reversible processes are , by definition , `` information-conserving . '' The generic property of `` reversibility '' expresses itself in a variety of specialized ways as further structure is introduced in the dynamical systems under study . Recent developments and applications show that this is a productive line of investigation , having a direct bearing on the theory and practice of computation and on the mathematical modeling of physics . Motivations and applications for this research are found , among others , in the following problems -- -- Models of computation compatible with microscopic physics ; dissipation in computation . -- -- Invertible cellular automata , and cellular-automaton models of processes traditionally modeled by differential equations . -- -- Lattice gas models of fluid dynamics . -- -- Collective phenomena and phase transitions . -- -- Parallel computation ; synchronization ; special-relativistic effects in distributed computation . -- -- Quantum computation . -- -- Information-theoretical generalization of physical concepts , such as entropy , energy , temperature , and action . -- -- Generalization to computational processes of conservation laws and variational principles . The `` domestication '' of natural physical processes for human goals requires an appropriate understanding of these processes ; thus , the domestication of energy conversion in large amounts ( typified by the development of steam engines during the industrial revolution ) entailed opening up a new chapter of physics , namely thermodynamics . Today we are just beginning to tap the _information_-processing ( rather than _energy_-processing ) resources of physics , say , by turning copper and silicon into computers . However , many modeling tasks of great conceptual or practical interest ( e.g. , in particle physics , meteorology , molecular biology , pattern recognition , optimization problems , etc . ) demand amounts of computation vastly in excess of what can be achieved with the present level of exploitation of nature 's intrinsic computational resources . As a new chapter of physics , _Information Mechanics_ addresses the question of how much more computing power is hidden within the finer machinery of nature ."
8811108,ARTIFICIAL INTELL & COGNIT SCI,Yorick Wilks,Machine Tractable Dictionaries as Tools and Resources for Natural Language Processing,8/15/88,"This research develops software components for a fully automated system for building knowledge bases about language . The knowledge bases produced are structured to be compatible with computer systems for processing natural language ( natural language understanding , natural language generation , and natural language translation systems , for example ) . The knowledge-acquisition system does not require extensive human intervention or `` knowlege engineering , '' but builds the knowledge base from standard text input , such as conventional dictionaries ( many of which are becoming available in machine-readable form . Initial work will be with the Longman 's Dictionary of Contemporary English . ) The significance of this research is that natural language processing systems , for machine translation , user interfaces , and knowledge based systems , must incorporate extensive knowledge about words and their meanings in the real world . This work is an important exploration of the extent to which the necessary knowledge may be found and built from existing text sources ( e.g . dictionaries , encyclopedias ) . The lexical/semantic knowledge bases generated are intended for widespread utilization , both for applications and for further scientific investigation by the natural language processing research community ."
8822415,HUMAN COMPUTER INTER PROGRAM,David Zeltzer,"A Workshop On Mechanics , Control And Animation of Articulated Figures",2/15/89,"Realistic modeling and animation of human and animal figures has long been a goal of researchers in computer graphics , and this has always been viewed as a multi-disciplinary effort . Developments in computer graphics , robotics and psychology , as well as the growing availability of powerful graphics and simulation workstations , make it timely to have a multi- disciplinary workshop on the topic of mechanics , control and animation . A meeting of approximately twenty leading researchers in graphics , psychology , robotics and mechanical engineering will be convened . The workshop will allow researchers to become familiar with results and methodologies across disciplines , provide for an open exchange of ideas in an area of growing interest , and perhaps most significantly , provide the basis for what can be highly fruitful collaborations in the future . Position papers will be solicited from each participant . Arrangement for rapid publication of workshop proceedings are underway ."
8713937,"ROBOTICS, ARTIFICIAL INTELL & COGNIT SCI",David Kirsh,Workshop on Foundations of Artificial Intelligence ( Computer and Information Science ),6/1/87,"The purpose of this workshop on the foundations of Artificial Intelligence is to systematically explore the scope and limits of fundamental approaches to artificial intelligence . In contrast to previous efforts , this workshop is structured to generate genuine discussion and interaction between paradigms . The workshop will have eight sessions in which a careful exposition of each approach will be presented by a founder of that approach , and will then be critiqued by a respected and influential commentator . Each position paper contains two parts . In the first part , the founder states what the basic thesis is , identifies the principles underpinning the method or approach and describes the natural type of problems and tasks in which this approach succeeds . In the second part , the speaker discusses the scope and limits of the approach , identifying particular difficulties and providing a concrete problem that illustrates each . The commentator then critiques the scope and limits of the approach , where it succeeds and why , and where it fails and why . The NSF funds will be used to provide support for conducting the workshop as well as widely disseminating the written materials presented at the workshop and videotapes of the presentation and ensuing discussions ."
8705184,ARTIFICIAL INTELL & COGNIT SCI,John Schlipf,The Effectiveness of Non-Monotonic Inference ( Computer and Information Science ),2/1/88,"Most real-world reasoning , by computer systems or humans , is `` non-monotonic . '' That is , adding new information not only makes new conclusions possible , but also invalidates some conclusions which were previously correctly drawn . The purpose of this research is to determine by theoretical means the limits on effectively computing various forms of non-monotonic inference - in particular McCarthy 's circumscription and Reiter 's closed world assumption . These forms of non-monotonic inference are also related in this research to other known mathematical systems.inf The significance of this research is that realistic deduction and inference models are needed for practical , real world computer systems . These systems must be capable of drawing inferences rapidly , even for large and complex problems , and theoretical work can show what kinds of models are feasible ."
8910294,INFORMATION & KNOWLEDGE MANAGE,Tzongan Su,Data Dependencies and Inference Control in Multilevel Relational Databases,8/1/89,"A multilevel relational database ( MDB ) stores data at different security levels and provides this data to users with different clearance levels . The security problem for an MDB is to prevent users from obtaining any unauthorized data . Until recently , research about the security of an MDB was concerned with access control . While access control techniques work to prevent one type of attack , the security can still be subverted by inference attacks . An inference attack to the MDB occurs if a user can infer unauthorized information in the MDB by using his preknowledge about the MDB and query responses authorized to him . This work investigates the inference problems arising from integrity constraints in the database ( i.e. , constraints that enforce the correctness of data ) . Two of the most popular integrity constraints , i.e . functional dependencies ( FDs ) and multivalued dependencies ( MVDs ) , are considered . Examination of the combination effects of FDs and MVDs on the security of an MDB under an elementary item classification scheme will be made . A protection scheme with minimum information loss will be found . The work also will investigate the same problem under a dynamic environment , i.e . data in the MDB can be changed . Finally , the research will explore the possibility of unifying inference mechanisms for different integrity constraints ."
8910266,ARTIFICIAL INTELL & COGNIT SCI,Carole Hafner,A Robust Method for Conceptual Analysis of Natural Language Text,7/1/89,"The objective of this research is to develop in detail and demonstrate an improved method for automatically identifying the concepts present in a natural language text , which goes beyond categorization and is able to identify relevant relationships and propositions . Robust methods for text analysis based on pattern matching have shown some success in topic categorization , and have been applied to recognition of concepts as well , with mixed results . In contrast , systems that analyze text at deeper levels have very limited ability to deal with text that can not be completely parsed and interpreted . In this project , a method is pursued for achieving greater accuracy and depth of conceptual analysis without sacrificing robustness . The basic idea of the method is to analyze the text syntactically producing a chart structure , and then apply pattern matching to the arcs of the chart rather than to the raw text . If successful this method will represent a major innovation in practical processing of natural language . It will lead to more powerful and precise methods for document classification . It will also provide a critical ( and so far absent ) component of systems for intelligent information retrieval ."
8902721,ARTIFICIAL INTELL & COGNIT SCI,   DATA NOT AVAILABLE,Research in Automatic Reformulation,7/1/89,"Present-day systems , intelligent or otherwise , are limited by the representations of the world given to them by their designers . The primary goal of this research is to automate representationchanges for problem-solving and learning systems . The research is formally grounded in a novel , first-principles approach to automating conceptual shifts for computational efficiency , called the theory of irrelevance . This theory makes precise the intuition that inefficient representations make irrelevant distinctions . The research proposed here is an attempt to extend the theoretical foundations above to coverlarger scale problems in engineering design and robotics . We will test the theory by implementing a reformulation assistant in engineering design and spatial planning ."
8809324,ARTIFICIAL INTELL & COGNIT SCI,Simon Kasif,PARALLEL LOGIC PROGRAMMING,6/1/88,"This research investigates the use of parallel computation systems ( systems of many computing elements operating simultaneously ) for knowledge representation , reasoning , and problem solving in large knowledge based systems . Experimental studies of computer performance are coupled with theoretical analysis of the algorithms involved . The importance of this research is that it significantly advances the usefulness of parallel computing power for real knowledge based applications . This award is being funded as one of the 1988 Research Initiation Awards for outstanding new investigators in the Computer and Information Science and Engineering ( CISE ) Directorate ."
8813943,DIGITAL SOCIETY&TECHNOLOGIES,Garth Saloner,Economic Issues In Standardization,8/15/88,"This research utilizes three different , but complementary , approaches to extend the understanding of standardization processes and outcomes : theoretical modelling , case studies , and cross-sectional data analysis . The theoretical projects are : ( 1 ) An examination of the effect of translator devices or `` gateway '' technologies on standardization . This work examines the extent to which translators can ameliorate inefficiencies in the standardization process , as well as whether translators might give rise to new problems . ( 2 ) An analysis of the efficiency of the timing of de facto standardization by the `` market '' . ( 3 ) An investigation of conflict resolution and information sharing within voluntary standards committees . The case studies will focus on the role of dominant firms in standard setting , the role of committees in conflict resolution versus coordination , and the timing of adoption . Five case studies are undertaken , mostly drawn from the information processing industries . The econometric projects include the measurement of benefits arising from the dramatic standardization of railroad gauges in the U.S. in 1885 , and the measurement of network externalities for VCR 's by collecting data on adoption rates in small U.S . towns . * * *"
8704665,"HUMAN COMPUTER INTER PROGRAM, CROSS-DIRECTORATE PROGRAMS",Barry Vercoe,A Portable Language for Audio Processing and Psychoacoustic Research ( Computer and Information Science ),4/15/87,"This is a project to develop a powerful yet intuitively comprehensible language for the generation and processing of sounds . The goal is to provide flexible control over the most comprehensive set of audiocomputational methods possible . The language is to be efficiently embedded in a UNIX/C processing environment for maximum portability to using laboratories . The personal computing workstation and a burgeoning industry in musical audio synthesizers have already had an impact on research in audio processing , psychoacoustics , human-computer interaction , and audio cognition . Until now , however , the impact has been limited by reliance on computationally simple models of sound production , lacking both the diversity of our cultural aural experience and the methods of control that would support its systematic investigation . If this project is successful , every investigator will be able to explore the most subtle nuances of sound and audition ."
8900267,ROBOTICS,Shimon Ullman,Image Partitioning and Selection in Man and Machine Vision,8/15/89,"Object recognition requires the selection of related image features for consideration by subsequent visual processing stages . This grant will support theoretical and experimental studies of image feature selection and linking in human and machine vision . Mathematical , psychophysical , and computational studies will be carried on in parallel the first year , with selection algorithms implemented in Lisp code that can be shared with other institutions . Further development , including implementation and testing on a Connection Machine , is planned for a second-year continuation . A third year of effort will integrate research results with those of synergistic projects funded by DARPA and ONR ."
8819624,SPECIAL PROGRAMS-RESERVE,David McAllester,Knowledge Representation for Mathematics,9/1/88,"New automatic theorem proving techniques are examined and evalu- ated by foundationally verifying well known theorems in pure mathematics . The investigator has already used object-oriented inference techniques to verify the Stone representation theorem for Boolean lattices from the axioms of set theory . The new inference techniques are evaluated by measuring the amount of user-given detail needed to foundationally verify Bledsoe 's ten challenge problems . The inference techniques to be evaluated include new forward chaining constraint propagation techniques , a forward chaining mechanism for mathematical induction , automated focus control for object-oriented inference , and a sound mechan- ism for verifying and applying user-defined algorithms . Automatic reasoning is one of the central problems of artificial intelligence , with potential for application in software and hardware verification , deductive data retrieval , online docu- mentation systems , and computer-aided instruction in mathematics and the sciences . This research seeks to establish that auto- matic inference can be used in practice and that progress is being made toward ever more effective methods ."
8657824,ROBOTICS,Ellen Hildreth,Presidential Young Investigator Award ( Computer and Information Science ),7/1/87,"This project focusses on the analysis of visual motion for tasks such as navigation through the environment and manipulation of objects . The work will be based on previous research over the past five years , addressing the problems of motion measurement and recovery of three-dimensional ( 3-D ) structure from relative motion . Future efforts will first examine three fundamental problems : First , the extraction of qualitative properties of 3-D structure and motion to facilitate fast locomotion through the environment ; second , the extension of current structure-from- motion methods to allow the interpretation of a greater range of nonrigid motions , and third , the design of parallel networks to recover 3-D structure , which will facilitate the testing of algorithms with natural image motion sequences . The thrust of this research will continue to combine theoretical analyses of these problems , the design and testing of algorithms , and observations regarding the analysis of motion by the human visual system ."
8719595,"ROBOTICS, HUMAN COMPUTER INTER PROGRAM",Marcia Bush,`` Acoustic-Phonetic Knowledge Representation in a Statistically Based Classifier,10/1/88,"This research is aimed at the development of a speaker- independent phonetic classification system for continuous speech which retains the statistical and automatic-training capabilities of implicit representational strategies , while accommodating explicit and intuitive descriptions of recognition vocabularies . The classifier is being implemented within a recognition framework with three main components : a finite-state pronunciation network whose branches correspond to linguistically well-defined units ; a set of generalized acoustic pattern matchers ; and a segment-based dynamic programming search . A primary feature of this framework is its ability to incorporate acoustic-phonetic features computed over variable-duration , segment-sized units of the speech signal , in addition to the general fixed-rate acoustic measures typically employed in traditional pattern-matching systems ."
8803294,HUMAN COMPUTER INTER PROGRAM,Alan Borning,Generating Interactive Displays from Declarative Specifications,7/1/88,"This is a continuation of ongoing research into the possibility of automatically generating user interfaces for interactive computer systems . The approach taken is to specify an interface formally as a relation between a source object ( such as some information in an application program ) and a view object ( such as a graphical image on the computer 's screen ) . This relation is implemented as a `` filter '' -- a program which can satisfy some con- straint on the two objects it relates . Filters are bidirectional : if the source changes , the view must be updated ; if the view is edited , the system must find a corresponding change to the source to keep the constraint satisfied . In previous work the investigators developed a formal theory of filters and a language for defining user interfaces in such terms . They now seek to refine and extend their ideas and test them in a variety of applications . Success in this project would lead to faster and easier construction of computer systems which are precisely tailored to specific needs and yet uniform in the way they interact with a user . The learning and use of ever more powerful and complex systems would be facilitated ."
8801932,ROBOTICS,Kenneth Sloan,"Contours , Surfaces and Volumes",12/1/88,"Previous work on shape extraction and description by slice-to- slice contour matching will be extended to multiple objects with branching structures . Both surface fitting and volumetric modeling will be explored , with emphasis on high-level operations and recognition of `` obvious '' correspondences . Both spatial ( or temporal ) position and 2-D shape understanding will thus be used to attack the 3-D correspondence problem in a biological domain ( retinal microscopy ) where shapes are complex and neither size nor orientation is constant from one slice to the next ."
8903715,KNOWLEDGE & DATABASE SYSTEMS,Alberto Segre,The Sixth International Workshop on Machine Learning,3/15/89,"Funds awarded to support `` The Sixth International Workshop on Machine Learning '' to be held May 1 , 1989 to August 1 , 1989 ."
8902124,"ROBOTICS, HUMAN COMPUTER INTER PROGRAM, ",Mari Ostendorf,Segment-based Acoustic Models with Multi-level Search Algorithms for Continuous Speech Recognition,8/15/89,"This award in the NSF/DARPA Joint Initiative on Image Understanding and Speech Recognition is for research on multilevel acoustic and phonetic models for large-vocabulary speaker-independent continuous speech recognition . Drs . Ostendorf and Rohlicek will use the hidden-Markov speech recognition system at BBN Systems and Technologies Corporation as a baseline , and will add multilevel phonetic segment modeling to improve performance . The grant includes support for several graduate and undergraduate students , as well as workstation hardware and software needed for speech recognition research ."
8805680,"ROBOTICS, HUMAN COMPUTER INTER PROGRAM, CROSS-DIRECTORATE PROGRAMS",Mari Ostendorf,Prosody Analysis/Synthesis Using Probabilistic Models and Linguistic Theory,12/15/88,"The objectives of this project are ( 1 ) to develop a computational model of prosody for speech synthesis and analysis , and ( 2 ) evaluate this model in speech synthesis and as a potential knowledge source for speech recognition and understanding . The approach is multidisciplinary , combining linguistic theory , speech knowledge and statistical modeling technique . The initial model is based on FM radio newscasting speech . The research effort includes : design and collection of an appropiate database , hand labeling of prosodic units and measurement of their acoustic correlates in part of the database , development of techniques to automatically segement and label prosodic units , implementation and evaluation of the model for analysis and synthesis ."
8703566,ROBOTICS,Ronald Williams,Reinforcement-Learning Connectionist Systems ( Computer and Information Science ),6/15/87,"Networks of neuron-like processing units , called connectionist systems , have interesting computational properties making them attractive for both psychological modeling and potential application in artificial intelligence . Recent research has led to some promising algorithms for learning in such networks . This project advances such research by developing a mathematically well-founded approach to the design of algorithms for the particular problem of reinforcement learning in connectionist networks of stochastic units . Particular algorithms are developed for learning problems having an important temporal component , such as control problems with feedback delays of unknown duration or problems involving recognition or production of time-varying signals . These algorithms are required to admit a suitable on-line implementation , in which the learning occurs within the operating system . In addition to making advances in the theory of such algorithms , this project involves implementing the more promising candidates and evaluating their performance in simulation experiments . Primary criteria for evaluation are learning efficiency and suspectibility to convergence to suboptimal states . In addition , this project explores the applicability of such algorithms to specific problems in artificial intelligence and robotics through the study of suitably scaled-down versions of these problems . Such problems include speech recognition and adaptive sensorimotor control ."
8702735,HUMAN COMPUTER INTER PROGRAM,Gerard Salton,Interface Tools and User-System Interaction in Automatic Information Retrieval ( Computer and Information Science ),7/1/87,"This research is concerned with the design of interactive tools and procedures through which a user can enhance the effectiveness of automatic information retrieval . It includes the development of a graphic interface for the SMART information retrieval system and the experimental evaluation of the resulting system in such tasks as query expansion and reformulation , searching of clustered document collections , and the construction of knowledge bases with user-supplied information . Use of an enhanced SMART system with its existing evaluation packages makes it possible to compare the results of highly interactive searches with results obtained from better known methods of information retrieval . The principal investigator enjoys an international reputation as a productive scientist and a pioneer in the experimental analysis of information retrieval . He is supported by Karen Sparck Jones of the University of Cambridge , a noted authority on the design of retrieval experiments , and Donald Crouch of Tulane University , who has recently specialized in the graphical representation of information ."
8810747,ROBOTICS,Joe Warren,Algorithmic Algebraic Geometry for Geometric Modeling,7/1/88,"Geometric modeling is a relatively new discipline that focuses on the problem of constructing and manipulating representations of geometric objects . One of the fundamental problems is choosing an appropriate representation for surfaces . In one popular approach , surfaces are represented as zero sets of polynomials . Such surfaces , referred to as algebraic surfaces , include almost all of the surfaces currently used in geometric modeling ( e.g. , Bezier surfaces , B-spline surfaces , quadric surfaces ) . A benefit of the use of these surfaces is the existence of an extensive mathematical theory of algebraic surfaces known as algebraic geometry . We propose to apply theory from algebraic geometry to three current problems in geometric modeling : 1 . Symbolic manipulation of systems of polynomial equations : We propose to investigate symbolic manipulation methods involving elimination theory ( e.g. , resultants ) . Specifically , we intend to explore new methods for eliminating several variables from a system of polynomials simultaneously . 2 . Computing the intersection of algebraic surfaces : we propose to apply the theory of birational maps to the problem of constructing an algorithm for computing the intersection of algebraic surfaces . 3 . Construction of piecewise smooth algebraic surfaces : we propose to use the theory of polynomial ideals to aid in the design and construction of a system of piecewise continuous algebraic surfaces . In particular , we hope to develop methods for constructing free-form algebraic surfaces ."
8807475,HUMAN COMPUTER INTER PROGRAM,E Milton,A Prototype of an Interactive System With Multiple Levels ofUser Expertise,1/1/89,"The goal of this research is to develop a prototype of a highly interactive `` identification workbench '' in the domain of plant- parasitic nematode genera . The system will be based on principles central to both expert systems and to expert workstations . There are important interactive systems questions , as the group of users is a diverse one , varying from novice to expert on domain knowledge , as well as familiarity with modern computing environments . Dealing with this diverse group will be handled through the `` set of available tools '' paradiam from expert workstations . Graphical assistance will be available to the identifier , and the object- oriented environment of Smalltalk presents a powerful and fully integrated environment in which objects will help unify the system model and the user 's model of the identification process . The problem area is challenging and appropriate from the point of view of expert systems because nematode identification is highly problematic with weighty economic consequences , there are very few expert taxonomists and poor geographic distribution of existing ones , there is large variability within taxa , several important factors introduce different kinds of uncertainty , and the overall identification process is based on rules of thumb . Efforts to codify the knowledge in the domain and assist with the development of an underlying architecture are proceeding in parallel with this project . The concepts of protomorphs and nuclei will be fully developed and refined by a panel of about thirty of the approximately forty expert nematologist worldwide . These experts will also help characterize the identification process and evaluate the finished prototype ."
8704467,"APPLIED MATHEMATICS, ROBOTICS",Jayant Shah,Segmentation of Images ( Computer and Information Science ),7/1/87,"Segmenting an image into distinct , meaningful regions is thought to be largely a task in early visual processing , involving low-level processes : local , numerical and bottom-up . Most segmenting algorithms can be broadly divided into categories based on opposing strategies : local , edge-operator methods and region-based , histogram methods . A recent algorithm developed by S. and D. Geman uses ideas from statistical mechanics to divide up an image into maximally homogeneous regions with shortest possible boundaries . The approach used in this research is inspired by Geman 's work and involves segmenting by minimizing energy functionals . These functionals reflect properties that one would expect of any segmenting scheme . Preliminary work shows that the Geman scheme can be thought of as a continuous spectrum of methods bridging edge-operator methods and region- based methods . The research in this project will be focussed along three lines : 1 ) Theoretical investgation regarding the existence and smoothness of solutions , 2 ) Extension to multi-grid relaxation and related questions of shape representation , and ; 3 ) Extension to segmentation based on image features other than or in addition to the gray level ."
